2005	10	-99999
2005	11	-99999
2005	12	-99999
2006	1	69.393
2006	2	64.878
2006	3	75.179
2006	4	57.402
2006	5	31.445
2006	6	22.817
2006	7	17.304
2006	8	24.136
2006	9	22.741
2006	10	46.486
2006	11	75.677
2006	12	84.016
2007	1	75.219
2007	2	54.706
2007	3	65.711
2007	4	47.483
2007	5	23.345
2007	6	10.791
2007	7	10.879
2007	8	11.65
2007	9	11.272
2007	10	25.858
2007	11	67.807
2007	12	77.054
2008	1	91.387
2008	2	91.595
2008	3	84.783
2008	4	59.775
2008	5	14.147
2008	6	7.084
2008	7	10.763
2008	8	9.551
2008	9	8.692
2008	10	26.068
2008	11	63.296
2008	12	88.949
2009	1	99.309
2009	2	83.103
2009	3	96.082
2009	4	65.448
2009	5	12.268
2009	6	12.035
2009	7	10.437
2009	8	13.029
2009	9	12.231
2009	10	37.347
2009	11	81.868
2009	12	83.612
2010	1	89.392
2010	2	79.592
2010	3	77.523
2010	4	66.304
2010	5	16.952
2010	6	11.474
2010	7	4.814
2010	8	4.827
2010	9	7.478
2010	10	40.062
2010	11	88.231
2010	12	82.775
2011	1	97.176
2011	2	90.384
2011	3	110.363
2011	4	55.522
2011	5	15.415
2011	6	8.997
2011	7	5.142
2011	8	5.308
2011	9	4.652
2011	10	30.655
2011	11	73.091
2011	12	103.268
2012	1	94.917
2012	2	94.234
2012	3	84.628
2012	4	69.852
2012	5	8.164
2012	6	8.406
2012	7	13.162
2012	8	11.552
2012	9	6.481
2012	10	26.405
2012	11	68.002
2012	12	96.51
2013	1	118.542
2013	2	88.888
2013	3	84.229
2013	4	70.808
2013	5	26.688
2013	6	20.226
2013	7	27.776
2013	8	21.47
2013	9	20.752
2013	10	44.404
2013	11	68.549
2013	12	96.236
2014	1	97.471
2014	2	80.562
2014	3	80.375
2014	4	59.215
2014	5	34.78
2014	6	19.815
2014	7	37.315
2014	8	31.036
2014	9	25.782
2014	10	51.131
2014	11	67.246
2014	12	82.367
2015	1	77.819
2015	2	76.067
2015	3	61.105
2015	4	49.644
2015	5	26.447
2015	6	22.243
2015	7	23.627
2015	8	23.282
2015	9	24.372
2015	10	50.953
2015	11	79.753
2015	12	91.707
2016	1	101.534
2016	2	81.574
2016	3	96.736
2016	4	50.579
2016	5	20.462
2016	6	25.452
2016	7	18.921
2016	8	22.557
2016	9	21.411
2016	10	38.349
2016	11	77.826
2016	12	100.642
2017	1	89.734
2017	2	91.42
2017	3	99.769
2017	4	63.221
2017	5	51.756
2017	6	39.237
2017	7	31.888
2017	8	46.181
2017	9	23.863
2017	10	52.298
2017	11	104.242
2017	12	100.642
2018	1	108.298
2018	2	99.303
2018	3	101.237
2018	4	55.618
2018	5	40.224
2018	6	32.565
2018	7	46.37
2018	8	43.632
2018	9	41.014
